specimenID,materialName,materialStockID,specimenPreparation,testStandards,particleSize [µm],particleSizeUnit,percentOfMass [%],percentOfMassUnit,testType
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,5.87,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,11.53,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,19.28,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,17.95,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,25.25,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,15.92,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,3.96,%,PARTICLESIZE-SIEVING
P-0040-14,17-4PH,NIST_100-6_Feedstock1,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.0,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,20,micrometer,1.01,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,25,micrometer,7.78,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,32,micrometer,25.18,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,38,micrometer,21.15,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,45,micrometer,24.36,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,53,micrometer,14.29,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,63,micrometer,4.58,%,PARTICLESIZE-SIEVING
P-0087-14,17-4PH,NIST_100-6_Feedstock10,Recyled from Build 9,ASTM B214-07,75,micrometer,1.28,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,20,micrometer,5.48,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,25,micrometer,7.21,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,32,micrometer,18.36,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,38,micrometer,22.37,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,45,micrometer,22.37,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,53,micrometer,15.89,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,63,micrometer,5.84,%,PARTICLESIZE-SIEVING
P-0092-14,17-4PH,NIST_100-6_Feedstock11,Recyled from Build 10,ASTM B214-07,75,micrometer,2.01,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,20,micrometer,0.55,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,25,micrometer,3.29,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,32,micrometer,20.38,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,38,micrometer,27.7,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,45,micrometer,23.95,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,53,micrometer,17.75,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,63,micrometer,4.84,%,PARTICLESIZE-SIEVING
P-0098-14,17-4PH,NIST_100-6_RecycleMaterial11,Recyled from Build 11,ASTM B214-07,75,micrometer,1.19,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,20,micrometer,1.19,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,25,micrometer,4.59,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,32,micrometer,24.4,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,38,micrometer,26.79,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,45,micrometer,23.85,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,53,micrometer,14.59,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,63,micrometer,3.94,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,75,micrometer,0.18,%,PARTICLESIZE-SIEVING
